;PPIND;FICE;STATE;TYPE;AVRMATH;AVRVERB;AVRCOMB;AVR_ACT;MATH_1;MATH_3;VERB_1;VERB_3;ACT_1;ACT_3;APP_REC;APP_ACC;NEW_STUD;NEW10;NEW25;FULLTIME;PARTTIME;IN_STATE;OUT_STAT;R_B_COST;ROOM;BOARD;ADD_FEE;BOOK;PERSONAL;PH_D;TERM_D;SF_RATIO;DONATE;INSTRUCT;GRADUAT;SAL_FULL;SAL_AC;SAL_AS;SAL_ALL;COMP_FUL;COMP_AC;COMP_AS;COMP_ALL;NUM_FULL;NUM_AC;NUM_AS;NUM_INS;NUM_ALL
Kansas State Univers;1;1928;KS;I;;;;;;;;;19;26;5880;4075;2833;25;55;14914;2246;1713;6995;3120;3120;;403;600;2000;76;86;18,5;22;6122;54;550;419;368;440;686;530;466;554;305;231;259;63;858
University of Kansas;1;1948;KS;I;;;;23;;;;;20;26;8579;5561;3681;25;50;17880;1673;1650;6994;3384;;;388;700;2681;88;94;13,7;17;9657;57;579;422;367;485;714;529;458;603;474;297;204;6;981
University of Kentuc;1;1989;KY;I;;;;25;;;;;21;26;7769;5689;2675;;;14931;2596;2160;6640;3226;;;330;450;1340;95;97;12,2;12;11098;52;634;473;418;521;760;574;504;628;470;416;308;6;1200
University of Louisv;1;1999;KY;I;;;;21;;;;;;;4777;3057;1823;16;33;9844;6198;2180;6540;3600;;;210;530;2440;84;92;11,1;24;10207;31;584;442;368;476;715;547;449;584;276;208;169;12;674
Louisiana State Univ;1;2010;LA;I;529;468;997;23;460;610;400;540;20;26;5996;4993;3079;29;57;16269;3757;2625;5925;2980;1720;1260;75;600;2242;83;87;15,9;11;6741;37;594;437;379;464;711;527;461;559;561;387;313;178;1439
Tulane University   ;2;2029;LA;I;;;;;560;670;490;616;;;7033;5125;1223;47;75;4941;1534;19040;19040;5950;2690;3260;510;350;800;98;98;9,1;21;16920;74;713;514;418;564;876;646;514;699;172;166;115;3;456
University of Southw;1;2031;LA;I;;;;19;;;;;16;21;4299;4250;2664;;;11767;3219;1898;4898;2082;;;;560;;63;67;22,7;9;4099;30;533;409;359;402;633;493;434;483;147;136;167;98;548
University of Maine ;1;2053;ME;I;525;464;989;;460;580;410;520;;;5260;4589;1741;23;52;7366;1795;3085;7975;4385;4385;;;500;;93;93;14,5;;7379;56;574;436;366;449;716;552;463;566;122;197;102;19;452
Johns Hopkins Univer;2;2077;MD;I;686;606;1292;30;660;740;560;660;;;8474;3446;911;75;94;3566;1569;18800;18800;6740;3815;2925;;500;1040;96;97;3,3;38;56233;90;798;542;435;593;972;677;551;734;330;110;160;52;767
University of Maryla;1;2103;MD;I;584;501;1085;;530;640;440;550;;;14292;10315;3409;22;53;19340;3991;2919;8723;5146;2899;2247;561;550;1550;89;92;18,1;12;9021;63;703;487;406;539;865;608;505;669;535;388;163;133;1285
University of Maryla;1;2105;MD;I;578;505;1083;23;510;640;440;560;;;4269;2594;985;27;57;6476;2592;3338;8594;4408;1930;2478;;494;2768;82;88;18,4;6;7618;55;638;455;395;464;783;571;491;577;87;119;104;32;353
Boston College      ;2;2128;MA;I;;;;;600;690;520;610;;;13112;6179;2154;66;94;8807;;16640;16640;6960;3130;3830;448;500;1300;95;95;16,6;27;10989;90;784;569;496;614;964;717;604;761;165;245;126;10;556
Brandeis University ;2;2133;MA;I;;;;;570;690;530;640;;;4186;2743;740;48;77;2819;62;19380;19380;6750;3500;3250;450;410;1000;90;97;9,8;24;17150;84;687;493;403;550;859;619;496;686;142;71;40;3;299
Harvard University  ;2;2155;MA;I;;;;;680;770;630;720;;;13865;2165;1606;90;;6862;320;18485;18485;6410;3370;3040;1335;500;1920;97;97;9,9;52;37219;;1009;559;500;793;1236;723;653;989;654;149;255;8;1172
University of Massac;1;2161;MA;I;504;447;951;;440;550;400;490;;;3986;3026;1093;8;29;5740;4182;4694;9838;4164;1774;2390;;500;1160;81;84;16,1;;7607;53;664;539;464;587;805;662;577;717;223;191;52;10;476
Massachusetts Instit;2;2178;MA;I;742;639;1381;31;720;780;570;690;29;33;6411;2140;1078;96;99;4481;28;20100;20100;5975;3200;2775;600;725;1600;99;99;10,1;35;33541;94;903;637;528;757;1124;806;678;951;583;177;164;36;989
Northeastern Univers;2;2199;MA;I;531;467;998;23;460;600;410;520;20;26;11901;8492;2517;16;42;11160;10221;13380;13380;7425;3990;3435;186;600;1750;73;82;12,9;17;9563;46;688;525;460;543;880;689;599;705;236;260;176;0;730
Tufts University    ;2;2219;MA;I;;;;;610;700;540;630;;;7614;3605;1205;60;90;4598;;19701;19701;5968;3038;2930;503;600;928;99;;10,3;22;18981;92;735;549;447;592;964;710;607;777;148;157;98;2;405
University of Massac;1;2221;MA;I;;;;;460;590;410;520;;;14438;12414;3816;12;39;16282;1940;2220;8566;3897;1712;2185;3247;500;1400;88;92;16,7;15;10276;68;704;537;438;607;880;680;557;762;650;306;146;7;1172
Michigan State Unive;1;2290;MI;I;524;461;982;23;450;590;400;520;21;25;18114;15096;6180;23;57;26640;4120;4103;10658;3734;1646;2088;524;504;600;93;95;14;9;10520;71;651;493;413;555;843;663;569;732;949;494;350;47;1840
Wayne State Universi;1;2329;MI;I;;;;21;;;;;17;24;4219;3098;1543;;44;9778;10455;3271;7162;3271;;3271;;468;;85;88;10,9;;10538;41;683;525;447;535;846;664;560;669;317;267;216;8;925
Western Michigan Uni;1;2330;MI;I;;;;23;;;;;20;25;9167;7191;2738;24;53;15739;4278;2785;6940;4100;1675;2425;455;500;1700;80;84;24,7;11;5983;55;603;489;396;502;755;620;505;633;285;233;189;24;731
Mississippi State Un;1;2423;MS;I;;;;23;;;;;19;27;4255;3277;1609;18;57;10094;1621;4946;9866;3084;1684;1400;477;480;1479;77;77;15,9;20;6223;53;540;432;389;455;649;521;471;548;278;191;155;40;669
University of Missis;1;2440;MS;I;;;;;;;;;20;25;3844;3383;1669;26;47;7524;804;1996;4916;3810;1560;2250;548;600;550;81;86;20,3;14;6971;53;558;428;384;440;676;524;471;537;138;111;158;29;439
University of Southe;1;2441;MS;I;531;449;980;22;;;;;18;24;2850;2044;1046;20;50;9260;1387;2392;4652;2470;1120;1350;;500;500;78;99;18,7;23;5917;45;562;438;352;438;664;520;420;520;183;162;160;58;563
Saint Louis Universi;2;2506;MO;I;;;;;480;620;420;550;21;27;3294;2855;956;44;67;4576;1140;11690;11690;4730;2300;2430;80;800;6800;84;94;4,6;19;18367;67;657;475;402;500;783;575;484;600;133;111;120;31;395
University of Missou;1;2516;MO;I;564;502;1066;25;470;620;430;570;22;28;6574;4637;2940;32;62;14782;1583;3030;9057;3485;3485;;414;600;1983;87;87;12,7;15;10145;58;603;456;407;485;729;560;499;592;336;256;244;63;899
University of Missou;1;2517;MO;I;655;547;1202;27;590;710;480;600;25;31;1877;1826;823;49;77;3926;561;3030;9057;3600;;;551;700;1435;88;88;14,4;23;9699;49;663;508;454;564;802;626;557;686;114;79;56;4;253
University of Missou;1;2518;MO;I;;;;24;;;;;22;27;1901;1340;655;33;64;3416;1984;3475;9501;3685;1980;1705;;;;98;98;11,6;8;12453;44;580;445;381;473;702;545;467;577;151;167;107;9;434
University of Missou;1;2519;MO;I;;;;;;;;;20;25;1618;1141;479;18;54;4793;4552;2424;7246;3964;;;348;500;4288;71;73;13,4;15;6433;48;576;460;412;476;699;561;503;579;86;103;110;5;304
Washington Universit;2;2520;MO;I;;;;;600;710;510;620;26;31;7654;5259;1254;62;93;4879;1274;18350;18350;5775;3431;2344;184;768;1512;91;98;3,9;31;45702;90;782;534;451;601;952;652;540;730;264;136;175;18;620
Montana State Univer;1;2532;MT;I;520;440;960;23;450;600;390;510;20;25;3500;2836;1779;15;42;8730;993;1576;5552;3710;3710;;648;550;2300;75;83;17,6;8;6324;37;497;397;346;407;602;487;427;498;154;146;144;24;468
University of Montan;1;2536;MT;I;489;457;946;22;;;;;;;3314;2809;1563;;;7754;1388;2251;6311;3957;;;;550;;75;81;21,7;16;5862;30;446;365;323;392;537;442;395;474;200;79;95;16;390
University of Nebras;1;2565;NE;I;513;447;960;22;;;;;;;6277;6003;3526;33;63;16454;3171;2055;5595;3145;1375;1770;360;500;2070;86;92;15,1;48;6813;53;661;477;410;523;792;584;505;635;436;344;316;31;1127
University of Nevada;1;2568;NV;I;488;432;920;22;420;500;370;480;23;25;2868;2409;1524;;;5916;2939;1740;6490;4560;2635;1925;20;600;2900;78;80;15,4;12;10407;54;647;480;390;508;741;558;458;589;145;133;95;5;403
Dartmouth College   ;2;2573;NH;I;692;627;1319;;660;740;580;680;;;8587;2273;1087;87;99;3918;32;19545;19545;6070;3255;2815;105;550;1100;95;99;4,7;49;29619;98;785;536;429;610;1002;686;532;774;163;89;114;5;371
University of New Ha;1;2589;NH;I;536;476;1012;;480;600;430;530;;;9750;7640;2529;24;62;10358;1338;3550;11180;3862;1648;2214;830;650;2450;89;87;17,5;16;7855;75;587;454;375;482;729;575;483;607;196;253;127;0;576
Princeton University;2;2627;NJ;I;708;647;1355;;645;737;583;678;;;13218;2042;1153;90;98;4540;146;19900;19900;5910;2696;3214;400;675;1575;91;96;8,4;54;28320;99;963;564;437;749;1154;686;534;901;402;66;179;16;702
New Mexico Institute;1;2654;NM;I;;;;26;;;;;;;787;601;233;40;73;1017;411;1302;5376;3214;3214;;556;600;1100;99;;13,7;11;9241;34;538;421;405;448;648;512;494;544;39;32;29;5;108
New Mexico State Uni;1;2657;NM;I;;;;22;;;;;19;25;4119;3200;1663;;;9673;3481;1980;6432;3148;1588;1580;;550;1066;76;;19,6;;6106;40;524;433;360;434;641;531;444;533;202;167;196;17;582
Clarkson University ;2;2699;NY;I;612;518;1130;;570;660;450;580;;;2174;1953;557;35;68;2332;53;15960;15960;5580;2622;2958;323;700;1300;95;95;15,8;32;11659;77;703;515;475;563;875;658;593;707;55;58;43;5;161
Columbia University ;2;2707;NY;I;680;620;1300;;630;720;590;680;;;6756;1930;871;78;96;3376;55;18624;18624;6664;3740;2924;486;550;300;97;98;5,9;21;30639;99;882;554;452;687;1136;767;646;915;477;185;199;11;923
Cornell University  ;2;2711;NY;I;;;;;640;740;540;640;;;19227;7171;3286;81;95;13072;;19000;19000;6238;3658;2580;66;510;1060;91;91;6,9;22;22480;93;651;511;431;549;847;691;598;732;318;231;105;41;707
Fordham University  ;2;2722;NY;I;535;506;1041;;490;610;460;580;;;4200;2874;942;30;55;4740;1646;14235;14235;6965;6965;;170;600;1735;86;97;14,4;14;10864;80;744;573;444;590;945;729;557;748;166;183;140;9;498
Hofstra University  ;2;2732;NY;I;540;470;1010;24;480;590;430;560;23;27;7428;5860;1349;25;63;6534;1350;11600;11600;5920;3620;2300;650;1000;1000;81;90;13,9;10;10093;60;757;550;470;584;956;692;579;731;127;131;141;7;406
New York University ;2;2785;NY;I;604;542;1146;;550;650;490;600;;;13594;7244;2505;70;86;12408;2814;17748;17748;7262;;;991;450;1000;87;98;7,8;16;21227;71;887;591;507;683;1172;785;674;905;532;337;252;42;1231
Rensselaer Polytechn;2;2803;NY;I;;;;28;610;710;470;590;26;30;4996;4165;936;53;82;4291;16;17475;17475;5976;;;550;1230;1100;94;98;15,4;21;15605;70;750;548;475;640;922;703;601;799;190;118;61;0;369
SUNY at Albany      ;1;2835;NY;I;580;506;1086;;520;620;450;550;;;13528;9198;1843;16;61;10168;1231;2650;6550;4355;2950;1405;295;700;1560;93;96;17,4;16;9075;74;732;526;407;576;934;679;524;739;260;217;125;0;638
SUNY at Binghamton  ;1;2836;NY;I;615;533;1148;26;570;670;480;580;;;14463;6166;1757;60;94;8544;671;2650;6550;4598;2690;1908;360;700;1000;83;;18;15;8055;80;705;511;407;555;902;665;528;716;172;175;82;0;460
SUNY at Stony Brook ;1;2838;NY;I;542;464;1006;;480;595;410;510;;;12512;6969;1724;27;66;9744;1351;2650;6550;4712;4712;;295;600;1200;91;96;10,5;7;13705;57;755;534;414;589;961;688;526;751;346;216;183;24;801
Syracuse University ;2;2882;NY;I;;;;;520;640;450;560;;;10477;7260;2442;28;67;10142;117;15150;15150;6870;3620;3250;360;635;960;73;84;11,3;13;14231;67;648;475;394;526;851;645;528;701;371;301;205;10;891
University of Roches;2;2894;NY;I;;;;;550;670;470;590;23;29;8766;5498;1243;56;75;5071;438;17840;17840;6582;3978;2604;410;500;882;93;99;5,9;23;26037;80;747;520;434;611;895;626;520;733;252;130;110;7;508
Duke University     ;2;2920;NC;I;687;615;1302;30;640;740;570;670;28;32;13789;3893;1583;90;98;6188;53;18590;18590;5950;2996;2954;480;625;1162;95;96;5;44;27206;97;854;584;459;699;1055;728;553;862;330;149;141;0;620
North Carolina State;1;2972;NC;I;578;493;1071;;510;630;440;530;;;10634;7064;3176;39;78;16505;5481;874;8400;6540;1640;1900;710;600;1300;92;98;17,5;21;9670;62;665;475;417;505;797;578;508;610;463;345;200;12;1235
University of North ;1;2974;NC;I;594;527;1121;;530;530;460;570;;;14596;5985;3331;75;92;14609;1100;874;8400;4200;2040;2160;606;550;1200;88;93;8,9;23;15893;83;701;512;410;565;837;620;498;678;572;329;212;18;1268
University of North ;1;2976;NC;I;499;457;956;;450;550;400;500;;;5191;4134;1500;15;44;7532;1847;931;8677;3505;1715;1790;958;600;1300;75;94;15,5;17;7392;53;610;443;377;435;735;540;461;529;140;178;135;8;572
University of North ;1;3005;ND;I;535;465;1000;23;460;610;390;520;19;25;2777;2249;1652;20;54;8334;1435;2110;5634;2703;1033;1670;318;450;1200;97;97;15,9;16;9424;49;460;391;345;379;572;489;431;473;130;124;163;27;472
Bowling Green State ;1;3018;OH;I;497;449;946;22;430;550;390;500;20;24;9251;7333;3076;14;45;13699;1213;3070;7452;3352;1968;1384;660;600;1700;81;89;21,1;14;6918;67;620;481;394;483;817;644;530;643;226;212;180;65;690
Case Western Reserve;2;3024;OH;I;;;;;600;740;490;640;26;32;3877;3156;713;71;93;3051;513;15700;15700;4730;2960;1770;125;525;1460;95;95;2,9;29;19733;67;754;518;470;585;948;663;600;744;213;133;126;58;530
Kent State Universit;1;3051;OH;I;462;424;886;21;390;520;360;480;18;23;9210;3040;7425;10;30;15615;3230;3927;7854;3666;;;;500;1350;81;86;20,8;;6397;46;654;473;389;502;810;602;505;636;221;244;203;14;682
Ohio University     ;1;3100;OH;I;520;473;993;24;460;580;420;530;21;26;11023;8298;3183;21;54;14861;1310;3552;7629;4095;2013;2082;357;550;2300;79;87;20,4;13;8811;64;632;486;393;512;786;618;512;648;248;241;192;4;687
University of Akron ;1;3123;OH;I;467;413;880;20;399;599;349;475;17;23;6305;5190;3211;;;12487;9295;2888;7650;3844;2454;1390;304;550;2100;71;80;16,7;18;6025;43;577;448;387;479;718;567;497;603;278;253;147;39;717
